ID;Mensagem;Emocao
2483729;eu curtindo muito;Positiva
2865805;Aplicativo absurdamente caro e o valor para se tornar prêmio é ainda muito mais caro. Joguei dinheiro no lixo;Negativa
2734161;Não é mais tão simples com o novo layout;Positiva
2066362;Estava com um problema para acessar, porém consegui resolver pelo fone fácil. Ótimo app;Positiva
2521806;Eu gostei muito do jogo tenho no celular da minha mãe e no meu celular no meu ela já tem 7 anos no da minha mãe ainda está parabéns para os criadores adorei;Positiva
2403779;Já cancelei a assinatura pelo site como mandam mas ainda estão cobrando as mensalidades.;Negativa
2118498;Provável substituto do google reader..;Positiva
2384648;adorei;Positiva
1961597;Muito bom;Positiva
2356071;Bom;Positiva
1998895;Meu Deus!! Até pra instalar esse negócio trava e fica repetindo pra você por os dados corretos ... odiei sem mesmo instalar .... nem a chance de conhecer eu tive . Que horrível ...;Negativa
2850139;caramba cara nem acredito q desistalei esse jogo sem querer , to so a raiva ....so de pensar q vou ter q começar tudo de novo.....nem vou baixar outra vez agr ja era kk;Positiva
2740519;de todos app relacionados à comida, esse tem mais me deixado feliz e sem problemas. Além de ganhar descontos e ter promoções.;Positiva
2157573;ec jogo e mt legal amei;Positiva
2366624;TENHO 450000 REAIS É MUITO BOM;Positiva
2495539;Melhor banco, melhor app! Vocês são incríveis;Positiva
1852892;Não consigo ver a programação ao vivo;Negativa
2720519;CLAIRO QUE SIM;Positiva
2049632;Muito conteúdo e de qualidade, mas a usabilidade pode melhorar muito.;Positiva
2018009;É um ótimo app para o gerenciamento de arquivos. E bem intuitivo. Facilita muito na hora de transferir dados☺☺☺;Positiva
2443318;Simplesmente o melhor!;Positiva
2622005;é ótimoooo;Positiva
2651570;Gostei;Positiva
2232320;Bom, depois da crítica que eu fi ontem, hoje fui testar e está funcionando. Apesar de travar as vezes, e o app fechar, pelo menos os vídeos estão rodando. Vou analisando q qlqr coisa volto aqui.;Neutra
2714309;nd a falar;Neutra
2098452;ok;Positiva
2114894;Superou minhas expectativas muito proveitoso;Positiva
2247148;ótimo;Positiva
2772776;Funciona como um plano de ação online onde você pode compartilhar com todos os convidados da lista as tarefas compartilhadas com data de deadline. Você ainda pode incluir subtarefas, arquivos e audios a cada tarefa.;Positiva
2400179;É bom;Positiva
2519661;amei e muito bom e tambem agora que ela pode dançar essa foi a melhor atualização desse jogo , se esta lendo esse comentário e porque quer saber da nossa opinião estake vc nai vai se arrepender;Positiva
2170632;Eu aprendi cousas que não sabia.;Positiva
1989839;esse jogo e muito bom, so que tem que atualizar e colocar mais musicas e desafios;Positiva
2749026;Muito bom;Positiva
2874531;O melhor.;Positiva
2642617;muito bom;Positiva
2438535;Varios boletos apresentam erro na hora de pagar e sem motivo aparente.;Negativa
2425578;Boa demais 5 estrelas;Positiva
2585923;odiei, olhei a propaganda na te Record que era so baixa cadastra o cartão de crédito que eu ganhava 10 reais, maior k.o, nao presta! voce fica com 10 reais mais você so ganhar se gastar, mentira! nao confiem nesse aplicativo!;Negativa
2837470;É legal;Positiva
2818188;Se funcionasse seria bom. As notícias nunca carregam.;Negativa
2326659;Muito bom. Da para escolhe o tipo de resolução da live,por isso q eu achei muito bomn.pq se seu celular Nn for muito bom da para abaixa a qualidade e aumentar;Positiva
2060325;Horrível, super excesso de propagandas não consigo ver nenhum canal sem que eu me estresse antes.;Negativa
2845790;bom;Positiva
2808562;dei 2 pois no começo e otimo muito bom ai vc comesa a usar mais e aparece a propaganda Premium toda hora mal escuto 1 musica e lá vem a propaganda fora o fato que você não pode escolher a musica ele meio que te incentiva vc a comprar tudo bem que não é tão caro mas por favor se o aplicativo não é grátis é só colocar!?;Negativa
1865694;Todas as vezes que utilizei o aplicativo os pedidos sempre chegaram no tempo hábil!;Positiva
2831762;o melhor app de serie e filmes;Positiva
2089975;melhor aplicativo de antivirus na minha opinião!;Positiva
2148649;"As aulas são boas, não são cansativas, dá para aprender sim. Só não vejo utilidade dos pontos (lingotes), o q ""comprar"", qual a diferença de perder ou não as ""ofensivas"", a repetição das frases do início do aplicativo e as de apoio.";Positiva
1935793;Entre os app's de operadoras de telefonia, este é o melhor. Por favor, coloquem o Banco Inter no campo do débito automático. Agradecemos.;Positiva
2551681;muito legal meus filhos adoram esse jogo e eu tambem;Positiva
2687368;muito bom mesmo.;Positiva
2406278;mas ou menos... perde-se privacidade;Negativa
