Mensagem,TipoChamado
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 24  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"De Para Tarefa 40848Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Antonio Cabral PESSOA Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Ingred Alves da Mata Rocha   5 anexos   FORMULÁRIO DE RESCISÃO  ANTONIO CABRAL         TERMO DE RECEBIMENTO DE     FORMULÁRIO DE RESCISÃO  ANTONIO CABRAL     FORMULARIO DE RESCISAO  ANTONIO CABRAL   ",Pedido de Suporte
"Boa tarde! Peço que seja realizado o cadastro do colaborador Ricardo Lobato Rodrigues no Point Service, pois ele foi designado para executar preventivas durante este mês. Seguem os dados necessários para o cadastro  Nome Ricardo Lobato Rodrigues  CPF 035.189.371.70  Email  Telefone 63 981171958",Pedido de Suporte
"De Para Tarefa 40816Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Carlos Aberto G Silva Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Ingred Alves da Mata Rocha   6 anexos   FORMULARIO DE RESCISÃO  CARLOS ALBERTO G         RECIBENTO DE     AVISO PRÉVIO CARLOS ALBERTO G     ASO DEMISSIONAL CARLOS ALBERTO GUIMARAES     FORMULARIO DE RESCISAO  CARLOS ALBERTO G   ",Pedido de Suporte
"De Para Tarefa 40748Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Berenice de Castro Coelho   4 anexos   FORMULÁRIO DE RESCISÃO DO COLABORADOR LEANDRO PEREIRA DA     Email de Autorização de Desligamento de     TERMO DE DEVOLUÇÃO DE CRACHÁ     AVISO PRÉVIO IDENIZADO LEANDRO PEREIRA DA   ",Pedido de Suporte
"De Para Tarefa 40834Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Carlos Alberto Guimares Silva Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Ingred Alves da Mata Rocha   5 anexos   FORMULARIO DE RESCISÃO  CLEITON ALVES RODRIGUES         RECIBENTO DE     AVISO PRÉVIO DO EMPREGADO     FORMULARIO DE RESCISAO  CLEITON ALVES RODRIGUES   ",Pedido de Suporte
"De Para Tarefa 40842Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Gustavo Alves Oliveira Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Ingred Alves da Mata Rocha   5 anexos   FORMULÁRIO DE RESCISÃO  GUSTAVO ALVES         RECEBIMENTO DE     AVISO PREVIO  GUSTAVO ALVES     FORMULARIO DE RESCISAO  GUSTAVO ALVES   ",Pedido de Suporte
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 24  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"Boa tarde, Solicito o cancelamento das seguintes ordens por lançamento errado 30189482025 30189492025 30189502025 30189582025 30189592025 30189632025 30189652025 30189662025 30189742025 30189612025 Solicito a cancelamento da seguinte ordem por duplicidade 30102852025",Pedido de Suporte
"De Para Tarefa 40490Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Edmilson da Silva Oliveira Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Gilmaria Gomes de Melo   1 anexo     ",Pedido de Suporte
"Gentileza desconsiderar o pedido. Ela não vai utilizar o crachá point service. Obrigada. De Diógenes Albuquerque Enviada em segundafeira, 10 de março de 2025 0953 Para Atendimento FAB Soluções Cc Cândida Wilma Fonseca de Rezende Assunto RE Construtora PortoFs de Admissão  Clt  Alesandra Valois Bom dia! Atendimento FAB A colaboradora possui email corporativo seria interessante utilizar o mesmo ao invés do Gmail.   De Candida Rezende  Enviado segundafeira, 10 de março de 2025 0950 Para Tecnologia da Informação Assunto Construtora PortoFs de Admissão  Clt  Alesandra Valois De Para Tarefa de Admissão  CLT  Alesandra Favor efetuar o cadastro do novo colaborador no PointService Nome Alesandra Valois dos Santos CPF 029.282.62148 Email Telefone 61 993010649 Permissão Favor indicar este destinatário no email  cc ServiceDesk , email  Atenciosamente,    h4. Cândida Rezende   2 anexos                     ",Reincidencia
"Bom dia! Atendimento FAB A colaboradora possui email corporativo seria interessante utilizar o mesmo ao invés do Gmail.  De Candida Rezende  Enviado segundafeira, 10 de março de 2025 0950 Para Tecnologia da Informação Assunto Construtora PortoFs de Admissão  Clt  Alesandra Valois De Para Tarefa de Admissão  CLT  Alesandra Favor efetuar o cadastro do novo colaborador no PointService Nome Alesandra Valois dos Santos CPF 029.282.62148 Email Telefone 61 993010649 Permissão Favor indicar este destinatário no email  cc ServiceDesk , email  Atenciosamente,   h4. Cândida Rezende     2 anexos               ",Reincidencia
"De Para Tarefa 41405Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Raimundo Jose Macedo Junior Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Gilmaria Gomes de Melo   1 anexo     ",Pedido de Suporte
"   h1. Monitoring and scheduled run resource usage limit reached Your team has used all of your 10000 monthly API calls for monitoring and scheduled collection runs.   For usage above the limit, there are two options to pay for the monitors and scheduled collection runs.    Every additional 1,000 API calls costs 0.75. This will be included in your next autoflex invoice. More about  Prepurchase API call blocks A block of 50,000 API calls costs 20 a month 0.401,000 API calls. The blocks can be purchased as an addon on the billing page.   If you have any questions, email us at This email was sent to which is associated with a Postman account.    2025 Postman Inc. All Rights Reserved. 201 Mission Street, Suite 2375, San Francisco, CA 94105, 1 415 796 6470",Informacao
"Bom dia! Solicito a exclusão da preventiva Leitura de água diária para somente dois usuários, Valdir Costa Silva 64 ordens e Ricardo Gomes Da Silva Bezerra 60 ordens. Mês de referência 032025. HRAug Hospital Regional de Augustinópolis. Atenciosamente, João Oliveira.",Pedido de Suporte
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 408  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 408  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"   h1. Only 999 monitoring and scheduled run calls left Your team has used 90 of your 10000 monthly API calls for monitoring and scheduled collection runs.   For usage above the limit, there are two options to pay for the monitors and scheduled collection runs.    Every additional 1,000 API calls costs 0.75. This will be included in your next autoflex invoice. More about  Prepurchase API call blocks A block of 50,000 API calls costs 20 a month 0.401,000 API calls. The blocks can be purchased as an addon on the billing page.   If you have any questions, email us at This email was sent to which is associated with a Postman account.    2025 Postman Inc. All Rights Reserved. 201 Mission Street, Suite 2375, San Francisco, CA 94105, 1 415 796 6470",Informacao
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 408  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"De Para Tarefa 41976Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome RIAN ROBSON BARROS DO NASCIMENTO Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Danielly Brito de Araujo   3 anexos   FORMULÁRIO DE RESCISÃO RIAN ROBSON BARROS DO     RIAN      Rian Robson    ",Pedido de Suporte
"De Para Tarefa 40555Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Tania Oliveira Silva   1 anexo   Formulario de Rescisao do Empregado MICHEL DIAS DE   ",Pedido de Suporte
"De Para Tarefa 41814Demissão de Colaborador  Aviso Prévio Olá Solicito exclusão de usuário no Sistema Point Service nome Também que seja cancelado email corporativo e acesso a demais sistemas da empresa. Atenciosamente, h4. Mirian Neves Pinheiro   1 anexo   CARTA DE PEDIDO DE DEMISSAO  JOHN KELLER DE JESUS   ",Pedido de Suporte
De Para Tarefa 41814Demissão de Colaborador  Aviso Prévio Solicito que seja feita a exclusão do John Keller do Sistema h4. Mirian Neves Pinheiro   1 anexo   Termo de Devolução Crachá  John Keller de Jesus   ,Pedido de Suporte
"Bom Dia, Preciso do cancelamento dessa O S pois a mesma foi duplicada",Pedido de Suporte
"   Reactivate your account by making your payment   Hey there,   Your teams account is temporarily suspended because theres an overdue payment of 19.   Please make the payment immediately to reactivate your teams account and continue your work on Postman.    Pay  In case of nonpayment, your team would be switched to the Free plan which allows only 3 members on the team.  Need help? Learn more about or contact       2025 Postman Inc., All Rights Reserved   201 Mission Street, Suite 2375, San Francisco, CA 94105 ",Informacao
"Bom dia, Solicito liberação do contrato EMATER no Point Service para o usuário LUANDERSON, bem como acesso à todas as unidades do contato. At.te.",Pedido de Suporte
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 408  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"De Para Tarefa 40599Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Luiz Carlos Alves da Silva Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Yara Lima Fernandes   6 anexos   Gestão de Pessoas      Email     TERMO DE DEVOLUCAO DE     CAUTELA DE     AVISO       ",Pedido de Suporte
"De Para Tarefa 40561Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Tania Oliveira Silva   1 anexo   Formulário de Rescisao do Empregado LEONARDO OLIVEIRA DOS   ",Pedido de Suporte
"De Para Tarefa 40754Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service.Bruno Martins Barbosa Nome Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Ingred Alves da Mata Rocha   5 anexos   FORMULÁRIO DE RESCISÃO  BRUNO MARTINS         TERMO DE RECEBIMENTO DO     FORMULÁRIO DE RESCISÃO  BRUNO MARTINS     FORMULARIO DE RESCISAO BRUNO MARTINS   ",Pedido de Suporte
"Boa tarde, Venho por meio deste solicitar o cancelamento de uma preventiva da unidade ANEXO I, visto que o ativo foi lançado duplicado. O número da preventiva é  30124712025 Os demais dados encontramse na imagem em anexo. Fico à disposição para quaisquer",Pedido de Suporte
